(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     757.02         0.00         0.00
          16     739.94         0.00         0.00
          32     830.56         0.00         0.00
          64     738.20         0.00         0.00
         128     765.44         0.00         0.00
         256     733.85         0.00         0.00
         512     822.60         0.00         0.00
        1024     751.22         0.00         0.00
        2048     811.91         0.01         0.00
        4096     719.13         0.01         0.01
        8192     728.94         0.02         0.01
       16384     868.77         0.04         0.03
       32768    1011.36         0.06         0.04
       65536    1013.50         0.13         0.09
      131072    1126.33         0.23         0.16
      262144    1530.43         0.34         0.23
      524288    1862.26         0.56         0.38
     1048576    2433.43         0.86         0.57
     2097152    3591.01         1.17         0.78
     4194304    7461.72         1.12         0.75
     8388608   13748.16         1.22         0.81
    16777216   26120.59         1.28         0.86
    33554432   50588.38         1.33         0.88
    67108864  119252.54         1.13         0.75
   134217728  198747.96         1.35         0.90
