(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     602.87         0.00         0.00
          16     584.13         0.00         0.00
          32     557.99         0.00         0.00
          64     498.88         0.00         0.00
         128     458.00         0.00         0.00
         256     467.77         0.00         0.00
         512     472.78         0.00         0.00
        1024     522.34         0.00         0.00
        2048     470.46         0.01         0.01
        4096     455.79         0.02         0.01
        8192     447.88         0.04         0.02
       16384     638.49         0.05         0.03
       32768     555.52         0.12         0.08
       65536     728.17         0.18         0.12
      131072    1133.63         0.23         0.15
      262144    1672.85         0.31         0.21
      524288    2839.94         0.37         0.25
     1048576    4776.92         0.44         0.29
     2097152    8497.21         0.49         0.33
     4194304    9696.21         0.87         0.58
     8388608   17909.34         0.94         0.62
    16777216   32385.69         1.04         0.69
    33554432   65549.72         1.02         0.68
    67108864  102121.10         1.31         0.88
   134217728  228206.17         1.18         0.78
