(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     500.71         0.00         0.00
          16     597.61         0.00         0.00
          32     594.70         0.00         0.00
          64     595.71         0.00         0.00
         128     762.96         0.00         0.00
         256     777.29         0.00         0.00
         512     713.20         0.00         0.00
        1024     684.95         0.00         0.00
        2048     715.41         0.01         0.00
        4096     776.07         0.01         0.01
        8192     903.72         0.02         0.01
       16384     888.19         0.04         0.02
       32768     957.66         0.07         0.05
       65536    1152.69         0.11         0.08
      131072    1402.75         0.19         0.12
      262144    1857.94         0.28         0.19
      524288    2893.72         0.36         0.24
     1048576    5025.12         0.42         0.28
     2097152    8317.15         0.50         0.34
     4194304   25002.66         0.34         0.22
     8388608   27479.20         0.61         0.41
    16777216   52274.48         0.64         0.43
    33554432  105641.79         0.64         0.42
    67108864  203385.94         0.66         0.44
   134217728  398687.69         0.67         0.45
