(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_gather (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=268435456 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     458.84         0.00         0.00
          16     428.79         0.00         0.00
          32     428.69         0.00         0.00
          64     411.35         0.00         0.00
         128     417.30         0.00         0.00
         256     409.52         0.00         0.00
         512     401.38         0.00         0.00
        1024     402.51         0.00         0.00
        2048     412.80         0.00         0.00
        4096     406.22         0.01         0.01
        8192     416.05         0.01         0.02
       16384     470.76         0.02         0.03
       32768     488.56         0.03         0.07
       65536     558.79         0.06         0.12
      131072     733.29         0.09         0.18
      262144     782.09         0.17         0.34
      524288    1031.25         0.25         0.51
     1048576    1458.66         0.36         0.72
     2097152    2685.28         0.39         0.78
     4194304    5628.84         0.37         0.75
     8388608   10165.57         0.41         0.83
    16777216   19589.77         0.43         0.86
    33554432   38009.90         0.44         0.88
    67108864   74719.58         0.45         0.90
   134217728  151163.93         0.44         0.89
   268435456  305455.70         0.44         0.88
