(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     358.95         0.00         0.00
          16     378.91         0.00         0.00
          32     377.87         0.00         0.00
          64     493.05         0.00         0.00
         128     667.05         0.00         0.00
         256     698.18         0.00         0.00
         512     754.20         0.00         0.00
        1024     699.07         0.00         0.00
        2048     606.84         0.01         0.01
        4096     663.35         0.01         0.01
        8192     841.95         0.02         0.01
       16384     888.85         0.04         0.03
       32768     959.64         0.07         0.05
       65536    1195.56         0.11         0.08
      131072    1503.35         0.17         0.13
      262144    1881.65         0.28         0.21
      524288    3383.06         0.31         0.23
     1048576    5772.17         0.36         0.27
     2097152    9659.65         0.43         0.33
     4194304   18193.12         0.46         0.35
     8388608   35718.83         0.47         0.35
    16777216   70181.77         0.48         0.36
    33554432  135086.39         0.50         0.37
    67108864  263647.89         0.51         0.38
   134217728  524330.94         0.51         0.38
