(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=5 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     969.39         0.00         0.00
          16     951.12         0.00         0.00
          32     941.44         0.00         0.00
          64     935.33         0.00         0.00
         128     935.33         0.00         0.00
         256    1464.54         0.00         0.00
         512    1569.01         0.00         0.00
        1024    1451.39         0.00         0.00
        2048    1605.57         0.00         0.00
        4096    1525.47         0.01         0.00
        8192    1385.05         0.01         0.01
       16384    1476.29         0.02         0.02
       32768    1743.89         0.04         0.03
       65536    1879.65         0.07         0.06
      131072    2268.25         0.12         0.09
      262144    2551.85         0.21         0.16
      524288    3283.53         0.32         0.26
     1048576    4422.52         0.47         0.38
     2097152    6667.63         0.63         0.50
     4194304   10799.92         0.78         0.62
     8388608   18685.70         0.90         0.72
    16777216   56480.77         0.59         0.48
    33554432   85580.51         0.78         0.63
    67108864  194948.89         0.69         0.55
   134217728  300393.22         0.89         0.71
