(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8    1062.39         0.00         0.00
          16    1023.37         0.00         0.00
          32    1169.28         0.00         0.00
          64    1268.51         0.00         0.00
         128    1294.10         0.00         0.00
         256    1221.72         0.00         0.00
         512    1378.68         0.00         0.00
        1024    1109.75         0.00         0.00
        2048    1086.02         0.00         0.00
        4096    1174.75         0.01         0.01
        8192    1320.75         0.01         0.01
       16384    1446.92         0.02         0.02
       32768    1548.84         0.04         0.03
       65536    1612.40         0.08         0.06
      131072    1789.92         0.15         0.11
      262144    2096.78         0.25         0.19
      524288    2953.90         0.35         0.27
     1048576    3425.51         0.61         0.46
     2097152    5061.25         0.83         0.62
     4194304    8053.19         1.04         0.78
     8388608   16095.31         1.04         0.78
    16777216   31887.01         1.05         0.79
    33554432   59034.67         1.14         0.85
    67108864  129717.10         1.03         0.78
   134217728  240642.54         1.12         0.84
