(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=4 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     844.81         0.00         0.00
          16     646.42         0.00         0.00
          32     575.99         0.00         0.00
          64     576.86         0.00         0.00
         128     819.46         0.00         0.00
         256     800.09         0.00         0.00
         512     781.90         0.00         0.00
        1024     794.10         0.00         0.00
        2048     813.88         0.01         0.00
        4096     893.99         0.01         0.01
        8192    1028.27         0.02         0.01
       16384    1054.77         0.03         0.02
       32768    1130.42         0.06         0.04
       65536    1454.76         0.09         0.07
      131072    1808.70         0.14         0.11
      262144    2182.28         0.24         0.18
      524288    3550.88         0.30         0.22
     1048576    5716.57         0.37         0.28
     2097152    9948.82         0.42         0.32
     4194304   18832.74         0.45         0.33
     8388608   36722.80         0.46         0.34
    16777216   69699.80         0.48         0.36
    33554432  137568.10         0.49         0.37
    67108864  265625.05         0.51         0.38
   134217728  516177.25         0.52         0.39
