(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=3 minBytes=8 maxBytes=134217728 mode=sequential
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     643.32         0.00         0.00
          16     593.38         0.00         0.00
          32     699.78         0.00         0.00
          64     704.03         0.00         0.00
         128     765.74         0.00         0.00
         256     708.49         0.00         0.00
         512     565.62         0.00         0.00
        1024     543.06         0.00         0.00
        2048     605.04         0.01         0.00
        4096     616.55         0.01         0.01
        8192     613.43         0.03         0.02
       16384     677.92         0.05         0.03
       32768     687.36         0.10         0.06
       65536     904.02         0.14         0.10
      131072     815.37         0.32         0.21
      262144    1037.18         0.51         0.34
      524288    1542.12         0.68         0.45
     1048576    2253.40         0.93         0.62
     2097152    3497.58         1.20         0.80
     4194304    7200.36         1.17         0.78
     8388608   13626.09         1.23         0.82
    16777216   24707.49         1.36         0.91
    33554432   49785.65         1.35         0.90
    67108864   98061.51         1.37         0.91
   134217728  197166.96         1.36         0.91
