(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     518.36         0.00         0.00
          16     512.85         0.00         0.00
          32     505.00         0.00         0.00
          64     504.94         0.00         0.00
         128     510.13         0.00         0.00
         256     607.39         0.00         0.00
         512     595.52         0.00         0.00
        1024     608.30         0.00         0.00
        2048     547.44         0.01         0.00
        4096     495.06         0.02         0.01
        8192     532.95         0.03         0.02
       16384     708.06         0.05         0.02
       32768     740.25         0.09         0.04
       65536     779.19         0.17         0.08
      131072     798.64         0.33         0.16
      262144     882.12         0.59         0.30
      524288    1255.47         0.84         0.42
     1048576    1695.41         1.24         0.62
     2097152    2813.39         1.49         0.75
     4194304    4885.83         1.72         0.86
     8388608    8142.39         2.06         1.03
    16777216   15597.43         2.15         1.08
    33554432   30661.70         2.19         1.09
    67108864   61668.06         2.18         1.09
   134217728  120359.55         2.23         1.12
