(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     543.22         0.00         0.00
          16     559.43         0.00         0.00
          32     643.61         0.00         0.00
          64     632.50         0.00         0.00
         128     580.07         0.00         0.00
         256     488.88         0.00         0.00
         512     469.41         0.00         0.00
        1024     454.75         0.00         0.00
        2048     454.47         0.01         0.00
        4096     460.73         0.02         0.01
        8192     551.62         0.03         0.01
       16384     570.50         0.06         0.03
       32768     605.67         0.11         0.05
       65536     713.30         0.18         0.09
      131072     784.62         0.33         0.17
      262144     942.63         0.56         0.28
      524288    1193.40         0.88         0.44
     1048576    1628.16         1.29         0.64
     2097152    2602.95         1.61         0.81
     4194304    4863.58         1.72         0.86
     8388608    9935.71         1.69         0.84
    16777216   18917.05         1.77         0.89
    33554432   56503.51         1.19         0.59
    67108864   90443.84         1.48         0.74
   134217728  211272.67         1.27         0.64
