(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     613.77         0.00         0.00
          16     515.40         0.00         0.00
          32     492.53         0.00         0.00
          64     483.14         0.00         0.00
         128     480.67         0.00         0.00
         256     484.32         0.00         0.00
         512     494.41         0.00         0.00
        1024     507.10         0.00         0.00
        2048     497.24         0.01         0.00
        4096     485.54         0.02         0.01
        8192     448.29         0.04         0.02
       16384     576.10         0.06         0.03
       32768     519.96         0.13         0.06
       65536     660.23         0.20         0.10
      131072     887.64         0.30         0.15
      262144    1337.89         0.39         0.20
      524288    2165.36         0.48         0.24
     1048576    3356.05         0.62         0.31
     2097152    6357.90         0.66         0.33
     4194304    7503.67         1.12         0.56
     8388608   12317.46         1.36         0.68
    16777216   22984.03         1.46         0.73
    33554432   45302.90         1.48         0.74
    67108864   66591.28         2.02         1.01
   134217728  122391.73         2.19         1.10
