(stderr)
/home/ubuntu/.local/lib/python3.10/site-packages/torch/_subclasses/functional_tensor.py:283: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))

(stdout)
# PyTorch NCCL all_reduce (env rendezvous, like Modal)
# world_size=2 minBytes=8 maxBytes=134217728 mode=overlap
# size(B)     time(us)   algbw(GB/s)  busbw(GB/s)
           8     372.67         0.00         0.00
          16     364.52         0.00         0.00
          32     354.31         0.00         0.00
          64     353.76         0.00         0.00
         128     393.08         0.00         0.00
         256     493.97         0.00         0.00
         512     486.14         0.00         0.00
        1024     492.26         0.00         0.00
        2048     535.63         0.01         0.00
        4096     622.56         0.01         0.01
        8192     633.32         0.03         0.01
       16384     730.87         0.04         0.02
       32768     764.19         0.09         0.04
       65536     712.41         0.18         0.09
      131072     852.00         0.31         0.15
      262144    1397.64         0.38         0.19
      524288    2526.80         0.41         0.21
     1048576    4958.58         0.42         0.21
     2097152    9750.86         0.43         0.22
     4194304   19966.77         0.42         0.21
     8388608   39484.10         0.42         0.21
    16777216   77903.95         0.43         0.22
    33554432  158135.77         0.42         0.21
    67108864  320216.55         0.42         0.21
   134217728  644022.59         0.42         0.21
